route_id,route_short_name,corridor_id,
3931_59644,184,11,
3969_63362,384,11,
3950_62750,2,12,
3799_56707,376,12,
3799_59362,740,12,
3048_36878,838,12,
3969_63360,368,12,
3969_63362,384,12,
3969_63361,369,12,
3950_62778,132,12,
3953_63242,897,12,
3731_57534,717,12,
3960_63310,129,14,
3502_51295,600,14,
3960_63312,880,14,
3731_40664,736,14,
3731_57534,717,14,
3950_62766,73,14,
#N/A,4,14,
3950_62818,240B,6,
3953_63239,817C,14,
3950_62855,343A,8,
3953_63241,887,14,Cork - Dungarvan - Waterford
3946_63137,130,14,
3953_63237,183,14,Galway - Cork
3953_63240,885,14,
3731_40664,736,15,
3502_51295,600,15,
3950_62766,73,15,
3967_63345,828,15,
3964_63334,858,15,
3048_36878,838,15,
3964_63332,840,15,
3048_36873,829,15,
3964_63330,823,15,
3950_62855,343A,343,
3968_63358,367A,6,
3950_62760,52,22,
3950_62762,64,22,Ennis - Shannon - Limerick
3959_63370,430,22,Cork - Dungarvan - Waterford
3551_53599,964,22,
3950_62895,425,22,
3124_37715,433,22,
3950_62888,417,22,
3160_36546,428,22,
3160_45984,427,22,
3950_62791,175,25,
3956_63252,C1,25,
3956_63252,C3,25,
3956_63250,176,25,
3950_62763,65,25,
3950_62980,NX,31,
3950_62774,109,31,
3950_62793,187,31,
3950_62971,109X,31,
3551_53599,964,31,
3950_62762,64,31,
3950_62756,30,31,
3950_62974,X30,31,
3950_62928,480,31,
3957_63265,292,31,
3957_63269,564,31,
2991_37732,930,31,
3956_63252,C1,31,
3950_62772,107,31,
3950_62938,109A,31,
3950_62785,162,33,
3950_62792,182,33,
3616_54282,180,33,
3950_62763,65,33,
3956_63250,176,33,
3956_63256,M2,33,
3950_62762,64,34,
3950_62756,30,34,
3950_62974,X30,34,
3551_53599,964,34,
3950_62930,487,34,
3953_63239,817C/E,5,
3950_62928,480,34,
3957_63283,982,34,
3957_63271,567,34,Limerick - Waterford
3957_63265,292,34,
3950_62933,491,34,
3957_63275,953,34,
3950_62943,182A,36,
3950_62792,182,36,
3420_36440,980A,36,
3420_46237,980,36,
3290_36296,933,36,
3616_54282,180,36,
3950_62757,32,36,
3950_62785,162,36,
3956_63257,M3,36,
3936_56714,910,36,
3936_52181,912,36,
3950_62954,D1,36,
3950_62955,D2,36,
3015_37967,191,36,
3963_63326,192,36,
3941_62997,33X,36,
3941_62996,33,36,
3931_59650,33A,36,
3963_63327,195,36,
3950_62943,182A,39,
3950_62792,182,39,
3953_63239,817C/E,14,
3950_62783,160,39,
3950_62787,168,39,
3950_62767,100,39,Clonmel - Kilkenny - Dublin
3950_62954,D1,39,
3950_62955,D2,39,
3936_56714,910,39,
3936_52181,912,39,
3015_37967,191,39,
3963_63326,192,39,
3941_62997,33X,39,
3941_62996,33,39,
3931_59650,33A,39,
3963_63327,195,39,
3241_40577,871,42,
3967_63344,391,42,
3950_62851,332,42,
3964_63334,858,42,
3952_40571,393,42,
3952_40576,812,42,
3964_63332,840,72,
3950_62957,323X,72,
3959_57026,712X,72,
3731_47930,735,72,
3586_36460,300,72,
3950_62765,72,72,
3950_62854,341,72,
3950_62847,323,72,
3950_62851,332,72,
3964_63333,850,72,
3696_56705,181,181,
3953_63237,183,181,
3955_63246,254,230,
3950_62816,237,230,
3953_63239,817C/E,A89,
3719_37706,230,230,
3719_51299,229,230,
3950_62815,236,230,Kilkenny - Callan - Mullinahone -Fethard – Clonmel
3950_62817,239,230,
3950_62815,236,236,
3955_63246,254,236,
3719_51299,229,236,
3950_62817,239,239,
3719_51299,229,239,
3955_63245,253,239,
3950_62815,236,239,
3950_62928,480,264,
3957_63265,292,264,
3950_62933,491,264,
3950_62930,487,264,
3957_63286,988,264,
3957_63258,1426,264,
3950_62855,343,343,
3950_62759,51,343,
3959_54907,251,343,
3586_36460,300,343,
3950_62854,341,343,
3950_62967,343X,343,
3953_63239,817E,5,
3950_62876,379,379,
3969_63365,389,379,
3691_56637,879,379,Limerick - Waterford
3757_36139,872,379,
3757_36140,875,379,
3799_56708,877,379,
3964_63334,858,393,
3967_63348,896,393,
3952_40574,396,393,
3952_40571,393,393,
3952_40572,394,394,
3953_63239,817E,14,
3959_63370,430,440,
3950_62760,52,440,
3950_62910,456,440,Clonmel - Kilkenny - Dublin
3950_62898,440,440,
3941_63035,27A,440,
3950_62891,421,440,
3099_36628,436,445,
3099_36633,499,445,
3099_36631,497,445,
3099_46236,498,445,
3950_62756,30,480,
3950_62974,X30,480,
3551_53599,964,480,
3950_62762,64,480,
3950_62928,480,480,
3957_63283,982,480,
3957_63271,567,480,
3957_63265,292,480,
3551_53599,964,487,
3950_62762,64,487,
3290_36295,932,487,
3950_62757,32,487,
3950_62928,480,487,
3950_62930,487,487,
3957_63286,988,487,
3957_63258,1426,487,
3950_62933,491,487,
3963_63326,192,564,
3956_63251,929,564,
3950_62755,23,564,
3957_63269,564,564,
2991_37732,930,564,
3941_63035,27A,570,
3950_62754,22,570,
3965_63336,570,570,
3964_63334,858,812,
3964_63331,834,831,
3048_36876,832,831,
3048_36875,831,831,
3964_63329,822,831,
3967_63345,828,831,
3964_63334,858,831,
3953_63237,183,885,
3941_63041,65,885,
3950_62778,132,885,
3950_62753,14,885,
3941_62985,13,885,
3731_40664,736,885,
3731_57534,717,885,
3502_51295,600,885,
3950_62751,4,885,
3960_63312,880,885,
3953_63240,885,885,
3102_36215,881,881,
3953_63241,887,881,
3950_62766,73,882,
3102_36216,882,882,
3959_60539,923,923,
3950_62889,419,923,
3963_63326,192,930,
3957_63269,564,930,
2991_37732,930,930,
3950_62763,65,930,
3290_36296,933,956,
3163_40123,951,956,
3093_36932,961,991,
3108_46283,991,991,
3950_62934,492,991,
3957_63266,293,991,
3950_62870,372,10a,
3799_56706,340,10a,
3950_62758,40,10a,
3950_62868,370,10a,
3969_63366,392,10a,
3969_63364,388,10a,
3969_63362,384,10a,
3731_40664,736,13b,
3731_57534,717,13b,
3502_51295,600,13b,
3731_54113,139,13b,
3960_63312,880,13b,
3953_63237,183,13b,
3953_63240,885,13b,
3960_63310,129,13b,
3102_36215,881,13b,
3950_62751,4,13b,
3959_57026,712X,17b,
3502_36463,726,17b,
3586_36460,300,17b,
3731_47930,735,17b,
3950_62847,323,17b,
3048_36875,831,17b,
3967_63346,854,17b,
3964_63331,834,17b,
3048_36876,832,17b,
3502_36465,816,17b,
3959_63369,707,17b,
3082_36320,824,17b,
3932_62744,704X,17b,
3950_62970,245X,17b,
3950_62957,323X,17b,
3950_62854,341,17b,
3950_62842,313,17b,
3950_62939,115C,23b,
3959_40507,763,23b,
3959_62552,720,23b,
3959_40502,660,23b,
3950_62755,23,23b,
3950_62754,22,23b,
3950_62764,70,23b,
3950_62794,190,23b,
3941_62987,15,23b,
3932_40674,706X,23b,
3959_40506,763X,23b,
3959_40505,761,23b,
3959_40504,760,23b,
3958_63298,548,23b,
3958_63299,934,23b,
3916_62551,845,23b,
3048_36877,837,23b,
3916_40492,847,23b,
3035_37724,842,23b,
3950_62776,115,23b,
3950_62939,115C,A31,
3048_36878,838,A31,
3048_36874,830,A31,
3964_63330,823,A31,
3953_63238,800,A67,
3950_62758,40,A78,
3950_62895,425,A78,
3124_37715,433,A78,
3953_63239,817E,A89,
3731_57534,717,A89,
3953_63239,817C,A89,
3952_40574,396,A89,Kilkenny - Callan - Mullinahone -Fethard – Clonmel
3952_40571,393,A89,
3950_62751,4,A90,
3502_51295,600,A90,
3731_40664,736,A90,
3950_62766,73,A90,
3035_37724,842,B52,
3950_62957,323X,B57,
3959_40507,763,B57,
3950_62884,404,B57,
3958_63297,547,B57,
3916_62551,845,B57,
3916_40492,847,B57,
3093_36933,963,963,
3957_63267,300,974,
3365_48661,974,974,
3957_63290,993,974,
