stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,settlement,county
8210CO11143,111431,Wallsforge,,52.82780599,-6.899493365,,,,,Carlow,County_Carlow
8210CO11145,112031,Tullow Road,,52.83119081,-6.906872572,,,,,Carlow,County_Carlow
8210CO11146,113931,Ashgrove,,52.83063944,-6.912406994,,,,,Carlow,County_Carlow
8210CO11147,113941,Idrone Park,,52.83306634,-6.913400089,,,,,Carlow,County_Carlow
8210CO11148,111461,Askea,,52.8352572,-6.911193342,,,,,Carlow,County_Carlow
8210CO11149,111601,Laurence O'Toole's,,52.83825746,-6.911979187,,,,,Carlow,County_Carlow
8210CO11151,113131,Pollerton Road,,52.83669861,-6.919424468,,,,,Carlow,County_Carlow
8210CO11154,111821,Kennedy Avenue,,52.83542341,-6.931463199,,,,,Carlow,County_Carlow
8210CO11155,111861,Castle,,52.83665117,-6.936063857,,,,,Carlow,County_Carlow
8210CO11156,111871,Maryborough Street,,52.83786665,-6.938305083,,,,,Carlow,County_Carlow
8210CO11157,111881,Duggan Avenue,,52.83985932,-6.938004144,,,,,Carlow,County_Carlow
8210CO11159,202001,Barrow Valley,,52.84534442,-6.943303658,,,,,Carlow,County_Laois
8210CO11444,111421,The Orchards,,52.8301367,-6.903678732,,,,,Carlow,County_Carlow
8210IR0001,,Muine Bheag (Bagenalstown),,52.69918,-6.952653,,,,,Muinebeag (Bagenalstown),County_Carlow
8210IR0002,,Carlow,,52.840788,-6.922622,,,,,Carlow,County_Carlow
8210LL10438,10438,Rathtoe,,52.78796436,-6.800572996,,,,,Rathtoe,County_Carlow
8210LL10441,,Aldi Bagenalstown,,52.70362,-6.95586,,,,,Muinebeag (Bagenalstown),County_Carlow
8210LL10442,,Petrol Station Bagenalstown,,52.70028,-6.9571,,,,,Muinebeag (Bagenalstown),County_Carlow
8210LL10443,,Ballinkillen Cross,,52.654514,-6.951764,,,,,Ballinkillen Cross,County_Carlow
8210LL10444,,Woodlawn Park,,52.60368,-6.93557,,,,,Borris,County_Carlow
