route_id,corridor_id
3689_56308,34
3702_56645,34
3702_42665,34
3702_42632,34
3689_56313,34
3702_42697,34
3689_56323,36
3689_56168,36
3420_36440,36
3420_46237,36
3290_36296,36
3616_54282,36
3689_56133,36
3689_56161,36
3704_42722,36
3739_56714,36
3546_52181,36
3689_56334,36
3689_56335,36
3015_37967,36
3715_42612,36
3659_55087,36
3659_55086,36
3571_53699,36
3715_42613,36
3689_56323,39
3689_56168,39
3541_45125,39
3689_56159,39
3689_56163,39
3689_56143,39
3689_56334,39
3689_56335,39
3739_56714,39
3546_52181,39
3015_37967,39
3715_42612,39
3659_55087,39
3659_55086,39
3571_53699,39
3715_42613,39
3241_40577,42
3405_42650,42
3689_56228,42
3732_42686,42
3070_40571,42
3070_40576,42
3732_48541,72
3689_56337,72
3728_57026,72
3731_47930,72
3702_42634,72
3689_56141,72
3689_56231,72
3689_56224,72
3689_56228,72
3732_54153,72
3696_56705,181
3581_47818,181
3404_46277,230
3689_56192,230
3689_56192,230
3719_37706,230
3719_51299,230
3689_56191,230
3689_56193,230
3689_56191,236
3404_46277,236
3719_51299,236
3689_56193,239
3719_51299,239
3404_42620,239
3689_56191,239
3689_56308,264
3702_42632,264
3689_56313,264
3689_56310,264
3702_42710,264
3702_42608,264
3689_56232,343
3689_56135,343
3728_54907,343
3702_42634,343
3689_56231,343
3689_56348,343
3689_56232,343
3689_56253,379
3700_48860,379
3691_56637,379
3419_36139,379
3419_36140,379
3710_56708,379
3732_42686,393
3405_42691,393
3070_40574,393
3070_40571,393
3070_40572,394
3689_56135,394
3705_26881,440
3689_56136,440
3689_56287,440
3689_56275,440
3659_55119,440
3689_56268,440
3099_36628,445
3099_36633,445
3099_36631,445
3099_46236,445
3689_56132,480
3689_56355,480
3551_53599,480
3689_56138,480
3689_56308,480
3702_56645,480
3702_42665,480
3702_42632,480
3551_53599,487
3689_56138,487
3290_36295,487
3689_56133,487
3689_56308,487
3689_56310,487
3702_42710,487
3702_42608,487
3689_56313,487
3715_42612,564
3704_54798,564
3689_56131,564
3702_42662,564
2991_37732,564
3659_55119,570
3689_56130,570
3594_42668,570
3070_40571,812
3070_40576,812
3732_42686,812
3732_54288,831
3048_36876,831
3048_36875,831
3732_50535,831
3732_42680,831
3732_42686,831
3581_47818,885
3689_56139,885
3689_56154,885
3689_56129,885
3689_56128,885
3731_40664,885
3731_57534,885
3502_51295,885
3689_56127,885
3610_42688,885
3610_54638,885
3731_56710,874
3102_36215,881
3581_53765,881
3689_56142,882
3102_36216,882
3728_43372,923
3689_56266,923
3715_42612,930
3702_42662,930
2991_37732,930
3689_56139,930
3290_36296,956
3163_40123,956
3093_36932,991
3108_46283,991
3689_56314,991
3702_42633,991
3689_56247,10a
3710_56706,10a
3689_56134,10a
3689_56245,10a
3700_51586,10a
3700_54643,10a
3700_49587,10a
3731_40664,13
3731_57534,13
3502_51295,13
3731_54113,13
3610_42688,13
3581_47818,13
3610_54638,13
3610_42607,13
3102_36215,13
3689_56127,13
3728_57026,17
3502_36463,17
3702_42634,17
3731_47930,17
3689_56224,17
3048_36875,17
3405_47271,17
3732_54288,17
