service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,descr_service_type,service_type
199,1,1,1,1,1,1,0,20240408,20241207,Mon-Sat,10
200,0,0,0,0,0,0,1,20240407,20240407,Sun,8
201,0,0,0,0,0,0,1,20240414,20241201,Sun,8
202,0,0,0,0,0,1,0,20240413,20241207,Sat,7
203,1,1,1,1,1,0,0,20240408,20241206,Mon-Fri,1
204,0,1,1,1,1,0,0,20240402,20240405,Tue-Fri,28
205,0,0,0,0,0,0,0,20241124,20241124,No-Service,0
206,1,1,1,1,1,1,0,20240401,20241207,Mon-Sat,10
207,1,1,1,1,1,1,0,20240402,20241207,Mon-Sat,10
208,0,0,0,0,0,0,1,20240331,20241201,Sun,8
209,1,1,1,1,1,1,0,20240401,20241207,Mon-Sat,10
210,1,1,1,1,1,0,0,20240401,20241206,Mon-Fri,1
211,0,0,0,0,0,1,0,20240406,20241207,Sat,7
212,0,0,0,0,1,0,0,20240405,20241206,Fri,6
213,1,1,1,1,0,1,0,20240401,20241207,Mon-Thur+Sat,13
214,0,0,0,0,0,0,0,20240520,20240520,No-Service,0
215,1,1,1,1,1,1,0,20240402,20241207,Mon-Sat,10
216,1,1,1,1,1,1,0,20240402,20241207,Mon-Sat,10
217,1,1,1,1,1,0,0,20240402,20241206,Mon-Fri,1
218,0,0,0,0,0,1,0,20240413,20240413,Sat,7
219,0,0,0,0,0,0,0,20240427,20240427,No-Service,0
220,1,1,1,1,0,1,0,20240401,20241207,Mon-Thur+Sat,13
221,1,1,1,1,0,0,0,20240401,20241205,Mon-Thur,9
222,0,0,0,0,0,0,0,20241028,20241028,No-Service,0
223,1,1,1,1,0,0,0,20240402,20241205,Mon-Thur,9
224,0,0,0,0,0,0,1,20240407,20241201,Sun,8
225,1,1,1,1,1,1,0,20240401,20241207,Mon-Sat,10
226,1,1,1,1,1,1,0,20240401,20241207,Mon-Sat,10
227,0,1,1,1,0,0,0,20240402,20240404,Tue-Thur,14
228,1,1,1,1,1,1,0,20240402,20241207,Mon-Sat,10
229,1,1,1,1,1,1,0,20240401,20240406,Mon-Sat,10
230,1,1,1,1,1,1,0,20240408,20240413,Mon-Sat,10
231,0,0,0,0,0,0,0,20240415,20240420,No-Service,0
232,0,0,0,0,0,0,0,20240422,20240427,No-Service,0
233,0,0,0,0,0,0,0,20240421,20240421,No-Service,0
234,0,0,0,0,0,0,0,20240428,20240428,No-Service,0
235,1,0,0,0,0,0,0,20240408,20241202,Mon,2
236,0,1,1,1,1,0,0,20240402,20241206,Tue-Fri,28
237,0,0,0,0,0,0,0,20240511,20240511,No-Service,0
238,0,0,0,0,1,1,0,20240405,20241207,Fri-Sat,19
239,1,1,1,1,0,1,0,20240402,20241207,Mon-Thur+Sat,13
240,1,1,1,1,1,1,0,20240429,20241207,Mon-Sat,10
241,0,1,1,1,1,1,0,20240402,20240406,#N/A,#N/A
242,0,0,0,0,0,0,1,20240505,20241201,Sun,8
243,1,1,1,1,1,1,0,20240429,20241207,Mon-Sat,10
244,1,1,1,1,1,1,0,20240402,20241207,Mon-Sat,10
245,1,1,1,1,1,1,0,20240413,20241207,Mon-Sat,10
246,1,1,1,1,1,0,0,20240408,20240412,Mon-Fri,1
247,0,0,0,0,0,0,0,20240422,20240426,No-Service,0
248,1,0,0,0,0,0,0,20240408,20250331,Mon,2
249,0,0,0,0,0,0,1,20240331,20250330,Sun,8
250,0,0,0,0,0,0,1,20240407,20250330,Sun,8
251,1,1,1,1,1,1,1,20240401,20250331,Mon-Sun,11
252,0,0,0,0,0,1,1,20240406,20250330,Sat-Sun,16
253,1,0,0,0,0,0,0,20240408,20250331,Mon,2
254,0,0,0,0,1,0,0,20240405,20250328,Fri,6
255,0,0,0,0,0,0,0,20240408,20250331,No-Service,0
256,0,0,0,1,0,0,0,20240404,20250327,Thur,5
257,0,1,0,0,0,0,0,20240402,20250325,Tue,3
258,0,0,1,0,0,0,0,20240403,20250326,Wed,4
259,1,0,0,0,0,0,0,20240408,20240527,Mon,2
260,0,1,0,0,0,0,0,20240402,20240528,Tue,3
261,0,0,1,0,0,0,0,20240403,20240529,Wed,4
262,0,0,0,0,1,0,1,20240331,20250330,Fri+Sun,27
263,1,1,1,1,1,1,1,20240401,20250331,Mon-Sun,11
264,0,0,0,0,0,0,0,20240707,20250330,No-Service,0
265,0,0,0,0,1,0,0,20240405,20250328,Fri,6
266,1,0,0,0,0,0,0,20240408,20250331,Mon,2
267,0,0,0,0,0,1,0,20240406,20250329,Sat,7
268,0,0,0,0,0,0,1,20240401,20250330,Sun,8
269,0,0,0,1,0,0,0,20240404,20250327,Thur,5
270,0,1,0,0,0,0,0,20240402,20250325,Tue,3
271,0,0,1,0,0,0,0,20240403,20250326,Wed,4
272,0,0,0,0,0,0,0,20241206,20250328,No-Service,0
273,0,0,0,0,0,0,0,20241202,20250331,No-Service,0
274,0,0,0,0,0,0,0,20241207,20250329,No-Service,0
275,0,0,0,0,0,0,0,20240331,20250330,No-Service,0
276,0,0,0,0,0,0,0,20241205,20250327,No-Service,0
277,0,0,0,0,0,0,0,20241203,20250325,No-Service,0
278,0,0,0,0,0,0,0,20241204,20250326,No-Service,0
279,1,0,0,0,1,0,1,20240331,20250331,Mon+Fri+Sat,18
